Genus,Guild1,Guild2,Guild3,References,,,
Janthinobacterium,PlantHarmful/Beneficial,Plant pathogen/PGP,Psolubilization/Siderophores,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.","Yadav, A. N., Sachan, S. G., Verma, P., & Saxena, A. K. (2015). Prospecting cold deserts of north western Himalayas for microbial diversity and plant growth promoting attributes.?Journal of bioscience and bioengineering,?119(6), 683-693.","Bull, C. T., De Boer, S. H., Denny, T. P., Firrao, G., Saux, M. F. L., Saddler, G. S., ... & Takikawa, Y. (2010). Comprehensive list of names of plant pathogenic bacteria, 1980-2007.?Journal of plant pathology, 551-592.",
Jeotgalibacillus,PlantBeneficial,PGP,IAA/PSolubilization,"Tuesta-Popolizio, D. A., Vel芍zquez-Fern芍ndez, J. B., Rodriguez-Campos, J., & Contreras-Ramos, S. M. (2021). Isolation and identification of extremophilic bacteria with potential as plant growth promoters (PGPB) of a geothermal site: A case study. Geomicrobiology Journal, 38(5), 436-450.",,,
Jeotgalicoccus,PlantBeneficial,Biocontrol,,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants.?Environmental and Experimental Botany,?178, 104124.",,,
Jiangella,PlantBeneficial,PGP,,"Debasis, M., Sne?ana, A., Panneerselvam, P., Manisha, S. A., Tanja, V., Ganeshamurthy, A. N., ... & Divya, J. (2019). Plant growth promoting microorganisms (PGPMs) helping in sustainable agriculture: current perspective.?International Journal of Agricultural Sciences and Veterinary Medicine, Bd,?7(2), 50-74.",,,
Jonesia,PlantBeneficial,PGP,IAA/PSolubilization,"Enquahone, S., van Marle, G., & Simachew, A. (2022). Plant growth-promoting characteristics of halotolerant endophytic bacteria isolated from Sporobolus specatus (Vahr) Kunth and Cyperus laevigatus L. of Ethiopian rift valley lakes.?Archives of Microbiology,?204(7), 1-15.",,,
Kibdelosporangium,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Kineococcus,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Kineosporia,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Kinneretia,PlantBeneficial,PGP,Siderophores,"Apimeteethamrong, S., & Kittiwongwattana, C. (2019). Diversity and plant growth promoting activities of rice epiphytic bacteria.?Current Applied Science and Technology,?19(2), 66-79.",,,
Kitasatospora,PlantBeneficial,Biocontrol/PGP,PSolubilization/Siderophores,"Tchakount谷, G. V. T., Berger, B., Patz, S., Fankem, H., & Ruppel, S. (2018). Community structure and plant growth-promoting potential of cultivable bacteria isolated from Cameroon soil. Microbiological Research, 214, 47-59.",,,
Klebsiella,PlantHarmful/Beneficial,Plant pathogen/PGP,NitrogenFixation/IAA/ACC/Cytokinin/PSolubilization/Ksolubilization/Siderophores,"Hakim, S., Naqqash, T., Nawaz, M. S., Laraib, I., Siddique, M. J., Zia, R., ... & Imran, A. (2021). Rhizosphere engineering with plant growth-promoting microorganisms for agriculture and ecological sustainability. Frontiers in Sustainable Food Systems, 5, 617157.","Ajayasree, T. S. (2018). Pathogenic potentiality of the bacterium of Klebsiella pneumoniae strain Borkar on different plants.?Journal of Applied Biotechnology & Bioengineering,?5(4), 233-235.",,
Kluyvera,PlantBeneficial,Biocontrol/PGP,NitrogenFixation/PSolubilization,"Bashan, Y., & De-Bashan, L. E. (2005). Plant growth-promoting. Encyclopedia of soils in the environment, 1, 103-115.",,,
Kocuria,PlantBeneficial,Biocontrol/PGP/StressResistance,PSolubilization/IAA/ACC/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Kribbella,PlantBeneficial,PGP,IAA,"Mehmood, M. A., Fu, Y., Zhao, H., Cheng, J., Xie, J., & Jiang, D. (2022). Enrichment of bacteria involved in the nitrogen cycle and plant growth promotion in soil by sclerotia of rice sheath blight fungus. Stress Biology, 2(1), 1-13.",,,
Kushneria,PlantBeneficial,PGP,NitrogenFixation/PSolubilization/IAA/Siderophores,"Navarro-Torre, S., Carro, L., Rodr赤guez-Llorente, I. D., Pajuelo, E., Caviedes, M.  ., Igual, J. M., ... & Montero-Calasanz, M. D. C. (2018). Kushneria phyllosphaerae sp. nov. and Kushneria endophytica sp. nov., plant growth promoting endophytes isolated from the halophyte plant Arthrocnemum macrostachyum. International Journal of Systematic and Evolutionary Microbiology.",,,
Kutzneria,PlantBeneficial,Biocontrol/PGP,IAA/PSolubilization/Siderophores,"Devi, T. S., Vijay, K., Vidhyavathi, R. M., Kumar, P., Govarthanan, M., & Kavitha, T. (2021). Antifungal activity and molecular docking of phenol, 2, 4-bis (1, 1-dimethylethyl) produced by plant growth-promoting actinobacterium Kutzneria sp. strain TSII from mangrove sediments.?Archives of Microbiology,?203(7), 4051-4064.",,,
Kytococcus,PlantBeneficial,PGP,IAA,"Shan, W., Zhou, Y., Liu, H., & Yu, X. (2018). Endophytic actinomycetes from tea plants (Camellia sinensis): isolation, abundance, antimicrobial, and plant-growth-promoting activities. BioMed research international, 2018.",,,
Labrenzia,PlantBeneficial,PGP,,"Cao, J. Y., Wang, Y. Y., Wu, M. N., Kong, Z. Y., Lin, J. H., Ling, T., ... & Xu, J. L. (2021). RNA-seq Insights Into the Impact of Alteromonas macleodii on Isochrysis galbana. Frontiers in Microbiology, 2658.","Sandhya, S. V., & Vijayan, K. K. (2019). Symbiotic association among marine microalgae and bacterial flora: a study with special reference to commercially important Isochrysis galbana culture.?Journal of Applied Phycology,?31, 2259-2266.",,
Labrys,PlantBeneficial,PGP,NitrogenFixation,"Tapia-Garc赤a, E. Y., Hern芍ndez-Trejo, V., Guevara-Luna, J., Rojas-Rojas, F. U., Arroyo-Herrera, I., Meza-Radilla, G., ... & Estrada-de Los Santos, P. (2020). Plant growth-promoting bacteria isolated from wild legume nodules and nodules of Phaseolus vulgaris L. trap plants in central and southern Mexico. Microbiological Research, 239, 126522.",,,
Lactobacillus,PlantBeneficial,Biocontrol/PGP,NitrogenFixation/IAA/Siderophores,"Kharazian, Z. A., Jouzani, G. S., Aghdasi, M., Khorvash, M., Zamani, M., & Mohammadzadeh, H. (2017). Biocontrol potential of Lactobacillus strains isolated from corn silages against some plant pathogenic fungi. Biological Control, 110, 33-43.","Evangelista, E. V., Garcia, F. C., & Cruz, J. A. (2017). Isolation, characterization and identification of plant growth-promoting rhizobacteria.?Int J Agric Technol,?13, 715-727.",,
Lechevalieria,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Leifsonia,PlantBeneficial,PGP/StressResistance,Gibberellin/NitrogenFixation/IAA/PSolubilization/Halotolerant/Siderophores,"Kang, S. M., Khan, A. L., You, Y. H., Kim, J. G., Kamran, M., & Lee, I. J. (2014). Gibberellin production by newly isolated strain Leifsonia soli SE134 and its potential to promote plant growth.?Journal of microbiology and biotechnology,?24(1), 106-112.","Tchakount谷, G. V. T., Berger, B., Patz, S., Fankem, H., & Ruppel, S. (2018). Community structure and plant growth-promoting potential of cultivable bacteria isolated from Cameroon soil. Microbiological Research, 214, 47-59.",,
Lentzea,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Leptospirillum,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Leucobacter,PlantBeneficial,PGP,ACC,"Kadioglu, G. B., Koseoglu, M. S., Ozdal, M., Sezen, A., Ozdal, O. G., & Algur, O. F. (2018). Isolation of cold tolerant and ACC deaminase producing plant growth promoting rhizobacteria from high altitudes.?Romanian Biotechnol Letters,?23, 13479-13486.",,,
Leucothrix,PlantHarmful/Beneficial,Plant pathogen,,"Jensen, P. R., Harvell, C. D., Wirtz, K., & Fenical, W. (1996). Antimicrobial activity of extracts of Caribbean gorgonian corals.?Marine Biology,?125(2), 411-419.",,,
Luteibacter,PlantBeneficial,PGP,IAA/Siderophores,"Abdelkrim, S., Jebara, S. H., Saadani, O., Chiboub, M., Abid, G., & Jebara, M. (2018). Effect of Pb坼resistant plant growth坼promoting rhizobacteria inoculation on growth and lead uptake by Lathyrus sativus. Journal of basic microbiology, 58(7), 579-589.","Guglielmetti, S., Basilico, R., Taverniti, V., Arioli, S., Piagnani, C., & Bernacchi, A. (2013). Luteibacter rhizovicinus MIMR1 promotes root development in barley (Hordeum vulgare L.) under laboratory conditions. World Journal of Microbiology and Biotechnology, 29(11), 2025-2032.",,
Lyngbya,PlantBeneficial,PGP,,"Sivalingam, K. M., & Batiri, A. (2020). Isolation and identification of some cyanobacteria and their plant growth promoting effect on wheat (Triticum aestivum L.), Ethiopia.?Journal of Science and Inclusive Development, 17-37.",,,
Lysinibacillus,PlantBeneficial,Biocontrol/PGP,IAA//Psolubilization/Siderophores,"Naureen, Z., Rehman, N. U., Hussain, H., Hussain, J., Gilani, S. A., Al Housni, S. K., ... & Harrasi, A. A. (2017). Exploring the potentials of Lysinibacillus sphaericus ZA9 for plant growth promotion and biocontrol activities against phytopathogenic fungi. Frontiers in microbiology, 8, 1477.","Jiang, X., Li, W. W., Han, M., Chen, G., Wu, J., Lai, S., ... & Xia, T. (2022). Aluminum-tolerant, growth-promoting endophytic bacteria as contributors in promoting tea plant growth and alleviating aluminum stress. Tree physiology, 42(5), 1043-1058.",,
Lysinimonas,PlantBeneficial,Biocontrol,,"Sun, Y., Wang, C., Du, G., Deng, W., Yang, H., Li, R., ... & Guo, Q. (2022). Two nematicidal compounds from Lysinimonas M4 against the pine wood nematode, Bursaphelenchus xylophilus.?Forests,?13(8), 1191.",,,
Lysobacter,PlantBeneficial,Biocontrol/PGP,,"Zhang, Z., Liu, H., Liu, X., Chen, Y., Lu, Y., Shen, M., ... & Li, J. (2022). Organic fertilizer enhances rice growth in severe saline每alkali soil by increasing soil bacterial diversity. Soil Use and Management, 38(1), 964-977.","Brescia, F., Vlassi, A., Bejarano, A., Seidl, B., Marchetti-Deschmann, M., Schuhmacher, R., & Puopolo, G. (2021). Characterisation of the antibiotic profile of Lysobacter capsici AZ78, an effective biological control agent of plant pathogenic microorganisms.?Microorganisms,?9(6), 1320.",,
Magnetococcus,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Magnetospirillum,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Mangrovibacterium,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Marinobacter,PlantBeneficial,Biocontrol/PGP,IAA/Psolubilization/Ksolubilization/Siderophores,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants.?Environmental and Experimental Botany,?178, 104124.","Debasis, M., Sne?ana, A., Panneerselvam, P., Manisha, S. A., Tanja, V., Ganeshamurthy, A. N., ... & Divya, J. (2019). Plant growth promoting microorganisms (PGPMs) helping in sustainable agriculture: current perspective.?International Journal of Agricultural Sciences and Veterinary Medicine, Bd,?7(2), 50-74.",,
Marinobacterium,PlantBeneficial,PGP/StressResistance,NitrogenFixation/IAA/Halotolerant/Siderophores,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Marinococcus,PlantBeneficial,PGP,NitrogenFixation,"Tapia-Garc赤a, E. Y., Hern芍ndez-Trejo, V., Guevara-Luna, J., Rojas-Rojas, F. U., Arroyo-Herrera, I., Meza-Radilla, G., ... & Estrada-de Los Santos, P. (2020). Plant growth-promoting bacteria isolated from wild legume nodules and nodules of Phaseolus vulgaris L. trap plants in central and southern Mexico. Microbiological Research, 239, 126522.",,,
Marinomonas,PlantBeneficial,PGP,IAA,"Lucena, T., Mesa, J., Rodriguez-Llorente, I. D., Pajuelo, E., Caviedes, M. A., Ruvira, M. A., & Pujalte, M. J. (2016). Marinomonas spartinae sp. nov., a novel species with plant-beneficial properties. International Journal of Systematic and Evolutionary Microbiology, 66(4), 1686-1691.",,,
Marinospirillum,PlantBeneficial,PGP,IAA/Psolubilization/Ksolubilization/Siderophores,"Debasis, M., Sne?ana, A., Panneerselvam, P., Manisha, S. A., Tanja, V., Ganeshamurthy, A. N., ... & Divya, J. (2019). Plant growth promoting microorganisms (PGPMs) helping in sustainable agriculture: current perspective.?International Journal of Agricultural Sciences and Veterinary Medicine, Bd,?7(2), 50-74.",,,
Martelella,PlantBeneficial,PGP,,"Khan, A., Hossain, M. T., Park, H. C., Yun, D. J., Shim, S. H., & Chung, Y. R. (2016). Development of root system architecture of Arabidopsis thaliana in response to colonization by Martelella endophytica YC6887 depends on auxin signaling.?Plant and soil,?405(1), 81-96.",,,
Massilia,PlantBeneficial,Biocontrol/PGP,IAA/Siderophores,"Li, C., Cao, P., Du, C., Zhang, X., Bing, H., Li, L., ... & Wang, X. (2021). Massilia rhizosphaerae sp. nov., a rice-associated rhizobacterium with antibacterial activity against Ralstonia solanacearum.?International Journal of Systematic and Evolutionary Microbiology,?71(9), 005009.",,,
Mesorhizobium,PlantBeneficial,PGP/StressResistance,NitrogenFixation/IAA/ACC/PSolubilization/Halotolerant,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Methanobacterium,PlantBeneficial,PGP,Ksolubilization/ZnSolubilization,"Nagaraju, Y., Triveni, S., Gopal, A. V., Thirumal, G., Kumar, B. P., & Jhansi, P. (2017). In vitro screening of Zn solubilizing and potassium releasing isolates for plant growth promoting (PGP) characters. Bull. Environ. Pharmacol. Life Sci, 6, 590-597.",,,
Methanocella,PlantBeneficial,PGP,NitrogenFixation,"Ayangbenro, A. S., & Babalola, O. O. (2021). Reclamation of arid and semi-arid soils: The role of plant growth-promoting archaea and bacteria.?Current Plant Biology,?25, 100173.",,,
Methanosarcina,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Methanothermobacter,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Methylibium,PlantBeneficial,PGP,ACC,"Glick, B. R., Todorovic, B., Czarny, J., Cheng, Z., Duan, J., & McConkey, B. (2007). Promotion of plant growth by bacterial ACC deaminase. Critical Reviews in Plant Sciences, 26(5-6), 227-242.",,,
Methylobacillus,PlantBeneficial,PGP,PSolubilization,"Yadav, N., & Yadav, A. (2018). Biodiversity and biotechnological applications of novel plant growth promoting methylotrophs. J Appl Biotechnol Bioeng, 5(6), 342-344.",,,
Methylobacter,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Methylobacterium,PlantBeneficial,PGP,Cytokinin/IAA/PSolubilization/Siderophores,"Rani, V., Bhatia, A., Nain, L., Tomar, G. S., & Kaushik, R. (2021). Methane utilizing plant growth-promoting microbial diversity analysis of flooded paddy ecosystem of India. World Journal of Microbiology and Biotechnology, 37(4), 1-22.","Zhang, Z., Liu, H., Liu, X., Chen, Y., Lu, Y., Shen, M., ... & Li, J. (2022). Organic fertilizer enhances rice growth in severe saline每alkali soil by increasing soil bacterial diversity. Soil Use and Management, 38(1), 964-977.",,
Methylocapsa,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Methylocella,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Methylocystis,PlantBeneficial,PGP,,"MaganaAB, R. E., Melati, M., PurnamawatiC, H., & PratiwiD, E. (2020). Enrichment of Organic Manure with Plant Growth Promoting Rhizobacteria Improved the Root and Shoot Growth of Okra (Abelmoschus esculentus L.) Moench.?Journal of Tropical Crop Science Vol,?7(3).",,,
Methyloglobulus,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Methylomonas,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Methylophaga,PlantBeneficial,PGP,IAA/ACC,"Bal, H. B., & Adhya, T. K. (2021). Alleviation of submergence stress in rice seedlings by plant growth-promoting rhizobacteria with ACC deaminase activity.?Frontiers in Sustainable Food Systems,?5, 606158.",,,
Methylophilus,PlantBeneficial,PGP,,"Singh, M., Qureshi, K. A., Jaremko, M., Rajput, M., Singh, S. K., Pandey, K. D., ... & Kumar, A. (2022). Bioprospects of Endophytic Bacteria in Plant Growth Promotion and Ag-Nanoparticle Biosynthesis.?Plants,?11(14), 1787.","Wang, W., Liu, A., Zheng, X., Chen, X., Fu, W., Wang, G., ... & Guan, C. (2022). Combined application of a PGPR strain Methylophilus sp. FP-6 and adenine to enhance the phytoremediation potential of tobacco: oxybenzone remediation, plant response and rhizosphere bacterial community adaptation.?Plant and Soil, 1-20.",,
Methylosinus,PlantBeneficial,PGP,NitrogenFixation,"Ayangbenro, A. S., & Babalola, O. O. (2021). Reclamation of arid and semi-arid soils: The role of plant growth-promoting archaea and bacteria. Current Plant Biology, 25, 100173.",,,
Methylosphaera,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Methylovirgula,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Methylovorus,PlantBeneficial,PGP,IAA,"Ivanova, E. G., Doronina, N. V., & Trotsenko, Y. A. (2001). Aerobic methylobacteria are capable of synthesizing auxins.?Microbiology,?70(4), 392-397.",,,
Microbacterium,PlantBeneficial,Biocontrol/PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Ksolubilization/Halotolerant/Siderophores,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.","Yun, B. R., Roh, S. G., & Kim, S. B. (2017). Diversity and physiological properties of soil actinobacteria in Ulleung Island. Korean Journal of Microbiology, 53(4), 242-250.",,
Microbispora,PlantBeneficial,PGP,,"Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,,
Microbulbifer,PlantBeneficial,Biocontrol,,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants.?Environmental and Experimental Botany,?178, 104124.",,,
Micrococcus,PlantBeneficial,PGP/StressResistance,NitrogenFixation/IAA/PSolubilization/Halotolerant/Siderophores,"Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.",,,
Microcoleus,PlantBeneficial,PGP,,"Bashan, Y., & De-Bashan, L. E. (2005). Plant growth-promoting. Encyclopedia of soils in the environment, 1, 103-115.",,,
Micromonospora,PlantBeneficial,Biocontrol/PGP,,"Palaniyandi, S. A., Yang, S. H., Zhang, L., & Suh, J. W. (2013). Effects of actinobacteria on plant disease suppression and growth promotion. Applied microbiology and biotechnology, 97(22), 9621-9636.","Hamedi, J., & Mohammadipanah, F. (2015). Biotechnological application and taxonomical distribution of plant growth promoting actinobacteria. Journal of industrial microbiology and biotechnology, 42(2), 157-171.",,
Microvirga,PlantBeneficial,PGP,NitrogenFixation,"Safronova, V. I., Kuznetsova, I. G., Sazanova, A. L., Belimov, A. A., Andronov, E. E., Chirak, E. R., ... & Tikhonovich, I. A. (2017). Microvirga ossetica sp. nov., a species of rhizobia isolated from root nodules of the legume species Vicia alpestris Steven.?International Journal of Systematic and Evolutionary Microbiology,?67(1), 94-100.","Safronova, V. I., Kuznetsova, I. G., Sazanova, A. L., Belimov, A. A., Andronov, E. E., Chirak, E. R., ... & Tikhonovich, I. A. (2017). Microvirga ossetica sp. nov., a species of rhizobia isolated from root nodules of the legume species Vicia alpestris Steven.?International Journal of Systematic and Evolutionary Microbiology,?67(1), 94-100.",,
Mitsuaria,PlantBeneficial,PGP/StressResistance,IAA/Drought,"Huang, X. F., Zhou, D., Lapsansky, E. R., Reardon, K. F., Guo, J., Andales, M. J., ... & Manter, D. K. (2017). Mitsuaria sp. and Burkholderia sp. from Arabidopsis rhizosphere enhance drought tolerance in Arabidopsis thaliana and maize (Zea mays L.).?Plant and Soil,?419(1), 523-539.",,,
Mobilicoccus,PlantBeneficial,PGP,IAA,"Shan, W., Zhou, Y., Liu, H., & Yu, X. (2018). Endophytic actinomycetes from tea plants (Camellia sinensis): isolation, abundance, antimicrobial, and plant-growth-promoting activities.?BioMed research international,?2018.",,,
Moorella,PlantBeneficial,PGP,NitrogenFixation,"Louca, S., Parfrey, L. W., & Doebeli, M. (2016). Decoupling function and taxonomy in the global ocean microbiome. Science, 353(6305), 1272-1277.",,,
Moraxella,PlantBeneficial,Biocontrol/PGP,NitrogenFixation/IAA,"Hakim, S., Naqqash, T., Nawaz, M. S., Laraib, I., Siddique, M. J., Zia, R., ... & Imran, A. (2021). Rhizosphere engineering with plant growth-promoting microorganisms for agriculture and ecological sustainability. Frontiers in Sustainable Food Systems, 5, 617157.","Etesami, H., & Glick, B. R. (2020). Halotolerant plant growth每promoting bacteria: Prospects for alleviating salinity stress in plants. Environmental and Experimental Botany, 178, 104124.","Tapia-Garc赤a, E. Y., Hern芍ndez-Trejo, V., Guevara-Luna, J., Rojas-Rojas, F. U., Arroyo-Herrera, I., Meza-Radilla, G., ... & Estrada-de Los Santos, P. (2020). Plant growth-promoting bacteria isolated from wild legume nodules and nodules of Phaseolus vulgaris L. trap plants in central and southern Mexico. Microbiological Research, 239, 126522.",
Morganella,PlantBeneficial,PGP,,"Naqqash, T., Aziz, A., Babar, M., Hussain, S. B., Haider, G., Shahid, M., ... & Radicetti, E. (2022). Lead-Resistant Morganella morganii Rhizobacteria Reduced Lead Toxicity in Arabidopsis thaliana by Improving Growth, Physiology, and Antioxidant Activities.?Agriculture,?12(8), 1155.",,,
Mucilaginibacter,PlantBeneficial,Biocontrol/PGP,IAA/PSolubilization,"Madhaiyan, M., Poonguzhali, S., Lee, J. S., Senthilkumar, M., Lee, K. C., & Sundaram, S. (2010). Mucilaginibacter gossypii sp. nov. and Mucilaginibacter gossypiicola sp. nov., plant-growth-promoting bacteria isolated from cotton rhizosphere soils. International journal of systematic and evolutionary microbiology, 60(10), 2451-2457.","Chimwamurombe, P. M., Gr?nemeyer, J. L., & Reinhold-Hurek, B. (2016). Isolation and characterization of culturable seed-associated bacterial endophytes from gnotobiotically grown Marama bean seedlings.?FEMS Microbiology Ecology,?92(6).",,
Mycobacterium,PlantHarmful/Beneficial,Plant pathogen/PGP/StressResistance,IAA/ACC/NutritionalAssimilation/Halotolerant/Siderophores,"Karmakar, J., Goswami, S., Pramanik, K., Maiti, T. K., Kar, R. K., & Dey, N. (2021). Growth promoting properties of Mycobacterium and Bacillus on rice plants under induced drought. Plant Science Today, 8(1), 49-57.","Egamberdiyeva, D. (2007). The effect of plant growth promoting bacteria on growth and nutrient uptake of maize in two different soils. applied soil ecology, 36(2-3), 184-189.","Tchakount谷, G. V. T., Berger, B., Patz, S., Fankem, H., & Ruppel, S. (2018). Community structure and plant growth-promoting potential of cultivable bacteria isolated from Cameroon soil. Microbiological Research, 214, 47-59.",
Mycoplana,PlantBeneficial,PGP,,"Egamberdiyeva, D., & H?flich, G. (2003). Influence of growth-promoting bacteria on the growth of wheat in different soils and temperatures.?Soil Biology and Biochemistry,?35(7), 973-978.",,,
Myroides,PlantBeneficial,PGP,Ksolubilization,"Kour, D., Rana, K. L., Kaur, T., Yadav, N., Halder, S. K., Yadav, A. N., ... & Saxena, A. K. (2020). Potassium solubilizing and mobilizing microbes: biodiversity, mechanisms of solubilization, and biotechnological implication for alleviations of abiotic stress. In?New and Future Developments in Microbial Biotechnology and Bioengineering?(pp. 177-202). Elsevier.",,,
Myxococcus,PlantBeneficial,Biocontrol,,"Li, Z., Wang, T., Luo, X., Li, X., Xia, C., Zhao, Y., ... & Fan, J. (2018). Biocontrol potential of Myxococcus sp. strain BS against bacterial soft rot of calla lily caused by Pectobacterium carotovorum.?Biological Control,?126, 36-44.",,,
Nannocystis,PlantBeneficial,Biocontrol,,"Taylor, W. J., & Draughon, F. A. (2001). Nannocystis exedens: A potential biocompetitive agent against Aspergillus flavus and Aspergillus parasiticus. Journal of food protection, 64(7), 1030-1034.",,,
Neptunomonas,PlantBeneficial,PGP,IAA,"Matsuda, R., Handayani, M. L., Sasaki, H., Takechi, K., Takano, H., & Takio, S. (2018). Production of indoleacetic acid by strains of the epiphytic bacteria Neptunomonas spp. isolated from the red alga Pyropia yezoensis and the seagrass Zostera marina.?Archives of microbiology,?200(2), 255-265.",,,
Nesterenkonia,PlantBeneficial,Biocontrol/PGP,Psolubilization,"Masmoudi, F., Abdelmalek, N., Tounsi, S., Dunlap, C. A., & Trigui, M. (2019). Abiotic stress resistance, plant growth promotion and antifungal potential of halotolerant bacteria from a Tunisian solar saltern.?Microbiological research,?229, 126331.",,,
Niastella,PlantBeneficial,Biocontrol/PGP,IAA,"Visioli, G., Sanangelantoni, A. M., Vamerali, T., Dal Cortivo, C., & Blandino, M. (2018). 16S rDNA profiling to reveal the influence of seed-applied biostimulants on the rhizosphere of young maize plants. Molecules, 23(6), 1461.","Zhang, N., Zhu, C., Shen, Z., Tao, C., Ou, Y., Li, R., ... & Dini-Andreote, F. (2022). Partitioning the Effects of Soil Legacy and Pathogen Exposure Determining Soil Suppressiveness via Induced Systemic Resistance. Plants, 11(21), 2816.",,
Nitrobacter,PlantBeneficial,PGP,NitrogenFixation,"Ibiene, A. A., Agogbua, J. U., Okonko, I. O., & Nwachi, G. N. (2012). Plant growth promoting rhizobacteria (PGPR) as biofertilizer: Effect on growth of Lycopersicum esculentus.?J Am Sci,?8(2), 318-324.",,,
